age,education,hispanic,household_income,race_ethnicity,extra_covid_worn_mask,state,trump_biden,binary,household_income_grouped,education_grouped,age_group
19,Completed some high school,not hispanic,"Less than $14,999",white,Yes,MI,Joe Biden,0,$25k or less,Completed some HS,18-35
55,Masters degree,not hispanic,"$25,000 to $29,999",white,No,OK,Donald Trump,1,$25k to $50k,Completed 1 Higher Education Degree or more,36-55
28,Completed some high school,not hispanic,"$15,000 to $19,999",american indian or alaska native,No,SC,Donald Trump,1,$25k or less,Completed some HS,18-35
28,Completed some high school,not hispanic,"Less than $14,999",black/african american/negro,Yes,IL,Donald Trump,1,$25k or less,Completed some HS,18-35
30,"Completed some college, but no degree",not hispanic,"$15,000 to $19,999",black/african american/negro,Yes,TN,Joe Biden,0,$25k or less,Participated in Higher Education,18-35
54,Other post high school vocational training,mexican,"$100,000 to $124,999","other race, nec",Yes,PA,Donald Trump,1,$100k to $150k,Participated in Higher Education,36-55
19,High school graduate,not hispanic,"Less than $14,999",white,Yes,TX,Donald Trump,1,$25k or less,Completed HS,18-35
53,"Completed some college, but no degree",not hispanic,"$150,000 to $174,999",asian or pacific islander,Yes,VA,Joe Biden,0,$150k or more,Participated in Higher Education,36-55
54,"Completed some college, but no degree",mexican,"$65,000 to $69,999",white,Yes,CA,Donald Trump,1,$50k to $75k,Participated in Higher Education,36-55
22,Completed some high school,not hispanic,"$50,000 to $54,999",black/african american/negro,Yes,GA,Joe Biden,0,$50k to $75k,Completed some HS,18-35
42,"College Degree (such as B.A., B.S.)",not hispanic,"Less than $14,999",white,Yes,KY,Donald Trump,1,$25k or less,Completed 1 Higher Education Degree,36-55
38,"College Degree (such as B.A., B.S.)",mexican,"$25,000 to $29,999","other race, nec",No,WI,Donald Trump,1,$25k to $50k,Completed 1 Higher Education Degree,36-55
61,Completed some high school,not hispanic,"$25,000 to $29,999",white,Yes,NC,Joe Biden,0,$25k to $50k,Completed some HS,56-75
25,"College Degree (such as B.A., B.S.)",not hispanic,"$20,000 to $24,999",black/african american/negro,Yes,CO,Joe Biden,0,$25k or less,Completed 1 Higher Education Degree,18-35
39,Doctorate degree,not hispanic,"$200,000 to $249,999",white,Yes,NJ,Donald Trump,1,$150k or more,Completed 1 Higher Education Degree or more,36-55
41,Completed some high school,not hispanic,"$20,000 to $24,999",white,Yes,LA,Donald Trump,1,$25k or less,Completed some HS,36-55
26,Completed some high school,not hispanic,"$65,000 to $69,999",white,No,IL,Joe Biden,0,$50k to $75k,Completed some HS,18-35
47,Completed some high school,not hispanic,"Less than $14,999",white,No,OH,Joe Biden,0,$25k or less,Completed some HS,36-55
40,Other post high school vocational training,not hispanic,"$65,000 to $69,999",white,Yes,MA,Donald Trump,1,$50k to $75k,Participated in Higher Education,36-55
26,Middle School - Grades 4 - 8,not hispanic,"Less than $14,999",white,Yes,FL,Donald Trump,1,$25k or less,Less than HS,18-35
36,High school graduate,not hispanic,"$100,000 to $124,999",white,Yes,OH,Joe Biden,0,$100k to $150k,Completed HS,36-55
24,Masters degree,not hispanic,"$250,000 and above",asian or pacific islander,Yes,FL,Joe Biden,0,$150k or more,Completed 1 Higher Education Degree or more,18-35
31,Associate Degree,mexican,"$25,000 to $29,999",white,Yes,TX,Donald Trump,1,$25k to $50k,Completed 1 Higher Education Degree,18-35
41,"College Degree (such as B.A., B.S.)",not hispanic,"$100,000 to $124,999",white,Yes,NY,Joe Biden,0,$100k to $150k,Completed 1 Higher Education Degree,36-55
