age,education,hispanic,household_income,race_ethnicity,extra_covid_worn_mask,state,trump_biden,binary,household_income_grouped,education_grouped,age_group
49,Associate Degree,not hispanic,"$75,000 to $79,999",white,Yes,WI,Donald Trump,1,$75k to $100k,Completed 1 Higher Education Degree,36-55
39,"College Degree (such as B.A., B.S.)",not hispanic,"$100,000 to $124,999",white,Yes,VA,Donald Trump,1,$100k to $150k,Completed 1 Higher Education Degree,36-55
46,"College Degree (such as B.A., B.S.)",not hispanic,"$175,000 to $199,999",white,Yes,VA,Donald Trump,1,$150k or more,Completed 1 Higher Education Degree,36-55
75,High school graduate,not hispanic,"$65,000 to $69,999",white,Yes,TX,Donald Trump,1,$50k to $75k,Completed HS,56-75
52,High school graduate,not hispanic,"Less than $14,999",white,Yes,WA,Donald Trump,1,$25k or less,Completed HS,36-55
44,Other post high school vocational training,not hispanic,"Less than $14,999",white,Yes,OH,Joe Biden,0,$25k or less,Participated in Higher Education,36-55
21,"Completed some college, but no degree",not hispanic,"$80,000 to $84,999",white,Yes,MA,Joe Biden,0,$75k to $100k,Participated in Higher Education,18-35
38,"Completed some college, but no degree",not hispanic,"Less than $14,999",black/african american/negro,No,TX,Joe Biden,0,$25k or less,Participated in Higher Education,36-55
69,"Completed some college, but no degree",not hispanic,"$40,000 to $44,999",white,Yes,CA,Donald Trump,1,$25k to $50k,Participated in Higher Education,56-75
59,"College Degree (such as B.A., B.S.)",not hispanic,"$100,000 to $124,999",white,Yes,NC,Donald Trump,1,$100k to $150k,Completed 1 Higher Education Degree,56-75
51,Masters degree,not hispanic,"$100,000 to $124,999",white,Yes,OH,Donald Trump,1,$100k to $150k,Completed 1 Higher Education Degree or more,36-55
74,"Completed some graduate, but no degree",not hispanic,"$20,000 to $24,999",white,Yes,MD,Donald Trump,1,$25k or less,Completed 1 Higher Education Degree or more,56-75
55,"Completed some college, but no degree",not hispanic,"$60,000 to $64,999",white,Yes,FL,Joe Biden,0,$50k to $75k,Participated in Higher Education,36-55
62,Other post high school vocational training,not hispanic,"$15,000 to $19,999",white,Yes,WV,Donald Trump,1,$25k or less,Participated in Higher Education,56-75
42,High school graduate,not hispanic,"$30,000 to $34,999",white,No,OH,Joe Biden,0,$25k to $50k,Completed HS,36-55
81,"College Degree (such as B.A., B.S.)",not hispanic,"$30,000 to $34,999",white,Yes,NY,Joe Biden,0,$25k to $50k,Completed 1 Higher Education Degree,76 or Older
22,"Completed some college, but no degree",not hispanic,"$40,000 to $44,999",white,Yes,KY,Joe Biden,0,$25k to $50k,Participated in Higher Education,18-35
71,"College Degree (such as B.A., B.S.)",not hispanic,"$150,000 to $174,999",white,Yes,IN,Donald Trump,1,$150k or more,Completed 1 Higher Education Degree,56-75
41,"College Degree (such as B.A., B.S.)",not hispanic,"Less than $14,999",white,No,WA,Joe Biden,0,$25k or less,Completed 1 Higher Education Degree,36-55
71,"Completed some graduate, but no degree",not hispanic,"$40,000 to $44,999",white,No,IA,Donald Trump,1,$25k to $50k,Completed 1 Higher Education Degree or more,56-75
55,"College Degree (such as B.A., B.S.)",not hispanic,"$75,000 to $79,999",white,Yes,SC,Donald Trump,1,$75k to $100k,Completed 1 Higher Education Degree,36-55
68,Associate Degree,not hispanic,"$85,000 to $89,999",white,Yes,MN,Joe Biden,0,$75k to $100k,Completed 1 Higher Education Degree,56-75
69,"Completed some college, but no degree",not hispanic,"$90,000 to $94,999",white,Yes,GA,Donald Trump,1,$75k to $100k,Participated in Higher Education,56-75
33,Masters degree,not hispanic,"$75,000 to $79,999",white,Yes,PA,Donald Trump,1,$75k to $100k,Completed 1 Higher Education Degree or more,18-35
70,"College Degree (such as B.A., B.S.)",not hispanic,"$60,000 to $64,999",white,Yes,NJ,Joe Biden,0,$50k to $75k,Completed 1 Higher Education Degree,56-75
32,Associate Degree,not hispanic,"$30,000 to $34,999",white,Yes,VA,Donald Trump,1,$25k to $50k,Completed 1 Higher Education Degree,18-35
77,"Completed some college, but no degree",not hispanic,"$100,000 to $124,999",white,Yes,SC,Donald Trump,1,$100k to $150k,Participated in Higher Education,76 or Older
65,Associate Degree,not hispanic,"$100,000 to $124,999",white,No,TX,Donald Trump,1,$100k to $150k,Completed 1 Higher Education Degree,56-75
22,"Completed some college, but no degree",not hispanic,"Less than $14,999",black/african american/negro,Yes,FL,Joe Biden,0,$25k or less,Participated in Higher Education,18-35
63,Masters degree,not hispanic,"$65,000 to $69,999",white,Yes,AZ,Joe Biden,0,$50k to $75k,Completed 1 Higher Education Degree or more,56-75
79,Masters degree,not hispanic,"$45,000 to $49,999",white,Yes,IL,Joe Biden,0,$25k to $50k,Completed 1 Higher Education Degree or more,76 or Older
70,"Completed some college, but no degree",not hispanic,"$75,000 to $79,999",white,No,OH,Donald Trump,1,$75k to $100k,Participated in Higher Education,56-75
54,Masters degree,not hispanic,"$80,000 to $84,999",white,Yes,OH,Joe Biden,0,$75k to $100k,Completed 1 Higher Education Degree or more,36-55
72,"Completed some college, but no degree",not hispanic,"$40,000 to $44,999",white,Yes,CA,Joe Biden,0,$25k to $50k,Participated in Higher Education,56-75
40,Completed some high school,not hispanic,"$20,000 to $24,999",white,No,FL,Donald Trump,1,$25k or less,Completed some HS,36-55
69,"College Degree (such as B.A., B.S.)",not hispanic,"$65,000 to $69,999",black/african american/negro,Yes,NC,Joe Biden,0,$50k to $75k,Completed 1 Higher Education Degree,56-75
37,"College Degree (such as B.A., B.S.)",not hispanic,"$200,000 to $249,999",white,Yes,TX,Joe Biden,0,$150k or more,Completed 1 Higher Education Degree,36-55
36,Doctorate degree,not hispanic,"$150,000 to $174,999",white,Yes,FL,Joe Biden,0,$150k or more,Completed 1 Higher Education Degree or more,36-55
54,Other post high school vocational training,not hispanic,"$65,000 to $69,999",white,Yes,NY,Joe Biden,0,$50k to $75k,Participated in Higher Education,36-55
40,"College Degree (such as B.A., B.S.)",not hispanic,"$95,000 to $99,999",white,Yes,TX,Joe Biden,0,$75k to $100k,Completed 1 Higher Education Degree,36-55
41,"College Degree (such as B.A., B.S.)",not hispanic,"$80,000 to $84,999",white,Yes,NJ,Joe Biden,0,$75k to $100k,Completed 1 Higher Education Degree,36-55
57,Completed some high school,not hispanic,"Less than $14,999",white,No,AR,Donald Trump,1,$25k or less,Completed some HS,56-75
64,Completed some high school,not hispanic,"Less than $14,999",white,Yes,OK,Joe Biden,0,$25k or less,Completed some HS,56-75
30,Completed some high school,not hispanic,"$15,000 to $19,999",white,Yes,CA,Joe Biden,0,$25k or less,Completed some HS,18-35
51,"College Degree (such as B.A., B.S.)",not hispanic,"$65,000 to $69,999",white,Yes,NY,Joe Biden,0,$50k to $75k,Completed 1 Higher Education Degree,36-55
72,"Completed some college, but no degree",not hispanic,"Less than $14,999",white,Yes,OR,Donald Trump,1,$25k or less,Participated in Higher Education,56-75
55,"College Degree (such as B.A., B.S.)",not hispanic,"$25,000 to $29,999",white,No,PA,Donald Trump,1,$25k to $50k,Completed 1 Higher Education Degree,36-55
80,"College Degree (such as B.A., B.S.)",not hispanic,"$100,000 to $124,999",black/african american/negro,Yes,PA,Joe Biden,0,$100k to $150k,Completed 1 Higher Education Degree,76 or Older
66,"Completed some college, but no degree",not hispanic,"$80,000 to $84,999",white,Yes,NC,Joe Biden,0,$75k to $100k,Participated in Higher Education,56-75
40,Other post high school vocational training,not hispanic,"$35,000 to $39,999",white,Yes,TX,Donald Trump,1,$25k to $50k,Participated in Higher Education,36-55
23,Completed some high school,not hispanic,"$40,000 to $44,999",white,Yes,CA,Donald Trump,1,$25k to $50k,Completed some HS,18-35
31,Masters degree,not hispanic,"$75,000 to $79,999",asian or pacific islander,Yes,VA,Donald Trump,1,$75k to $100k,Completed 1 Higher Education Degree or more,18-35
69,Masters degree,not hispanic,"$95,000 to $99,999",white,Yes,OH,Donald Trump,1,$75k to $100k,Completed 1 Higher Education Degree or more,56-75
31,"Completed some graduate, but no degree",not hispanic,"$125,000 to $149,999",asian or pacific islander,Yes,CA,Joe Biden,0,$100k to $150k,Completed 1 Higher Education Degree or more,18-35
51,Masters degree,not hispanic,"$85,000 to $89,999",white,Yes,IL,Joe Biden,0,$75k to $100k,Completed 1 Higher Education Degree or more,36-55
78,"Completed some graduate, but no degree",not hispanic,"$100,000 to $124,999",white,Yes,NC,Donald Trump,1,$100k to $150k,Completed 1 Higher Education Degree or more,76 or Older
58,Other post high school vocational training,not hispanic,"$50,000 to $54,999",white,Yes,MI,Joe Biden,0,$50k to $75k,Participated in Higher Education,56-75
70,High school graduate,not hispanic,"$45,000 to $49,999",white,Yes,PA,Donald Trump,1,$25k to $50k,Completed HS,56-75
19,Masters degree,not hispanic,"$150,000 to $174,999",white,Yes,CA,Joe Biden,0,$150k or more,Completed 1 Higher Education Degree or more,18-35
41,"Completed some college, but no degree",not hispanic,"$65,000 to $69,999",white,Yes,MI,Joe Biden,0,$50k to $75k,Participated in Higher Education,36-55
39,Completed some high school,not hispanic,"$30,000 to $34,999",white,Yes,CT,Joe Biden,0,$25k to $50k,Completed some HS,36-55
63,"College Degree (such as B.A., B.S.)",not hispanic,"$50,000 to $54,999",white,Yes,NC,Donald Trump,1,$50k to $75k,Completed 1 Higher Education Degree,56-75
68,Associate Degree,not hispanic,"$30,000 to $34,999",white,No,WI,Joe Biden,0,$25k to $50k,Completed 1 Higher Education Degree,56-75
73,Associate Degree,not hispanic,"$45,000 to $49,999",white,Yes,CT,Donald Trump,1,$25k to $50k,Completed 1 Higher Education Degree,56-75
38,Masters degree,not hispanic,"$40,000 to $44,999",white,Yes,NC,Donald Trump,1,$25k to $50k,Completed 1 Higher Education Degree or more,36-55
69,Associate Degree,not hispanic,"$30,000 to $34,999",white,Yes,OR,Donald Trump,1,$25k to $50k,Completed 1 Higher Education Degree,56-75
61,Masters degree,not hispanic,"$100,000 to $124,999",white,Yes,IL,Donald Trump,1,$100k to $150k,Completed 1 Higher Education Degree or more,56-75
19,Other post high school vocational training,mexican,"Less than $14,999",white,Yes,NJ,Joe Biden,0,$25k or less,Participated in Higher Education,18-35
72,"Completed some college, but no degree",not hispanic,"$45,000 to $49,999",white,Yes,TX,Joe Biden,0,$25k to $50k,Participated in Higher Education,56-75
54,Masters degree,not hispanic,"$30,000 to $34,999",white,Yes,CA,Donald Trump,1,$25k to $50k,Completed 1 Higher Education Degree or more,36-55
70,Masters degree,not hispanic,"$150,000 to $174,999",white,Yes,FL,Joe Biden,0,$150k or more,Completed 1 Higher Education Degree or more,56-75
53,"College Degree (such as B.A., B.S.)",not hispanic,"$35,000 to $39,999",white,Yes,IA,Joe Biden,0,$25k to $50k,Completed 1 Higher Education Degree,36-55
52,Masters degree,not hispanic,"$100,000 to $124,999",white,Yes,GA,Donald Trump,1,$100k to $150k,Completed 1 Higher Education Degree or more,36-55
63,Masters degree,not hispanic,"$75,000 to $79,999",white,Yes,NY,Joe Biden,0,$75k to $100k,Completed 1 Higher Education Degree or more,56-75
63,Associate Degree,not hispanic,"$25,000 to $29,999",white,Yes,WA,Joe Biden,0,$25k to $50k,Completed 1 Higher Education Degree,56-75
38,"Completed some college, but no degree",not hispanic,"$60,000 to $64,999",white,Yes,MI,Joe Biden,0,$50k to $75k,Participated in Higher Education,36-55
45,Other post high school vocational training,not hispanic,"$55,000 to $59,999",white,Yes,OH,Joe Biden,0,$50k to $75k,Participated in Higher Education,36-55
30,High school graduate,not hispanic,"$45,000 to $49,999",white,No,IL,Donald Trump,1,$25k to $50k,Completed HS,18-35
66,High school graduate,not hispanic,"$90,000 to $94,999",white,Yes,MA,Joe Biden,0,$75k to $100k,Completed HS,56-75
40,Masters degree,not hispanic,"$80,000 to $84,999",asian or pacific islander,Yes,MO,Joe Biden,0,$75k to $100k,Completed 1 Higher Education Degree or more,36-55
49,Masters degree,not hispanic,"$60,000 to $64,999",white,Yes,CO,Joe Biden,0,$50k to $75k,Completed 1 Higher Education Degree or more,36-55
57,"Completed some college, but no degree",not hispanic,"$45,000 to $49,999",white,Yes,IL,Donald Trump,1,$25k to $50k,Participated in Higher Education,56-75
60,"College Degree (such as B.A., B.S.)",not hispanic,"$90,000 to $94,999",white,Yes,NC,Donald Trump,1,$75k to $100k,Completed 1 Higher Education Degree,56-75
68,Masters degree,not hispanic,"$70,000 to $74,999",white,Yes,NY,Joe Biden,0,$50k to $75k,Completed 1 Higher Education Degree or more,56-75
58,High school graduate,not hispanic,"$60,000 to $64,999",white,Yes,IN,Donald Trump,1,$50k to $75k,Completed HS,56-75
33,"College Degree (such as B.A., B.S.)",not hispanic,"$50,000 to $54,999",asian or pacific islander,Yes,CA,Joe Biden,0,$50k to $75k,Completed 1 Higher Education Degree,18-35
26,"Completed some college, but no degree",not hispanic,"$250,000 and above",white,Yes,FL,Donald Trump,1,$150k or more,Participated in Higher Education,18-35
76,"Completed some college, but no degree",not hispanic,"$65,000 to $69,999",white,Yes,PA,Donald Trump,1,$50k to $75k,Participated in Higher Education,76 or Older
38,Other post high school vocational training,not hispanic,"$25,000 to $29,999",white,Yes,SC,Donald Trump,1,$25k to $50k,Participated in Higher Education,36-55
53,Masters degree,not hispanic,"$100,000 to $124,999",white,Yes,IL,Donald Trump,1,$100k to $150k,Completed 1 Higher Education Degree or more,36-55
64,"Completed some college, but no degree",not hispanic,"$15,000 to $19,999",white,Yes,OH,Joe Biden,0,$25k or less,Participated in Higher Education,56-75
49,Masters degree,not hispanic,"$90,000 to $94,999",white,Yes,NY,Donald Trump,1,$75k to $100k,Completed 1 Higher Education Degree or more,36-55
66,"Completed some college, but no degree",not hispanic,"$65,000 to $69,999",white,Yes,IA,Donald Trump,1,$50k to $75k,Participated in Higher Education,56-75
56,Masters degree,not hispanic,"$125,000 to $149,999",white,No,WI,Donald Trump,1,$100k to $150k,Completed 1 Higher Education Degree or more,56-75
26,"College Degree (such as B.A., B.S.)",not hispanic,"$85,000 to $89,999",white,Yes,CT,Joe Biden,0,$75k to $100k,Completed 1 Higher Education Degree,18-35
58,High school graduate,not hispanic,"$30,000 to $34,999",white,Yes,PA,Donald Trump,1,$25k to $50k,Completed HS,56-75
72,"Completed some graduate, but no degree",not hispanic,"$100,000 to $124,999",white,Yes,NJ,Joe Biden,0,$100k to $150k,Completed 1 Higher Education Degree or more,56-75
36,Masters degree,not hispanic,"$60,000 to $64,999",white,Yes,DC,Joe Biden,0,$50k to $75k,Completed 1 Higher Education Degree or more,36-55
70,Masters degree,not hispanic,"$100,000 to $124,999",white,Yes,PA,Joe Biden,0,$100k to $150k,Completed 1 Higher Education Degree or more,56-75
25,Associate Degree,not hispanic,"$45,000 to $49,999",white,No,GA,Donald Trump,1,$25k to $50k,Completed 1 Higher Education Degree,18-35
40,Masters degree,not hispanic,"$150,000 to $174,999",white,Yes,NY,Joe Biden,0,$150k or more,Completed 1 Higher Education Degree or more,36-55
42,Masters degree,not hispanic,"$150,000 to $174,999",white,Yes,FL,Donald Trump,1,$150k or more,Completed 1 Higher Education Degree or more,36-55
26,Completed some high school,not hispanic,"Less than $14,999",black/african american/negro,Yes,FL,Joe Biden,0,$25k or less,Completed some HS,18-35
45,"Completed some college, but no degree",not hispanic,"Less than $14,999",asian or pacific islander,Yes,NY,Joe Biden,0,$25k or less,Participated in Higher Education,36-55
57,Associate Degree,not hispanic,"$30,000 to $34,999",white,Yes,GA,Donald Trump,1,$25k to $50k,Completed 1 Higher Education Degree,56-75
55,"Completed some college, but no degree",not hispanic,"$90,000 to $94,999",white,Yes,IL,Donald Trump,1,$75k to $100k,Participated in Higher Education,36-55
70,"Completed some college, but no degree",not hispanic,"$55,000 to $59,999",white,Yes,NM,Joe Biden,0,$50k to $75k,Participated in Higher Education,56-75
55,"College Degree (such as B.A., B.S.)",not hispanic,"$100,000 to $124,999",white,Yes,TN,Joe Biden,0,$100k to $150k,Completed 1 Higher Education Degree,36-55
46,"College Degree (such as B.A., B.S.)",not hispanic,"$25,000 to $29,999",asian or pacific islander,Yes,CA,Joe Biden,0,$25k to $50k,Completed 1 Higher Education Degree,36-55
32,"College Degree (such as B.A., B.S.)",not hispanic,"$55,000 to $59,999",white,Yes,NC,Donald Trump,1,$50k to $75k,Completed 1 Higher Education Degree,18-35
66,"Completed some college, but no degree",not hispanic,"$40,000 to $44,999",white,Yes,VA,Donald Trump,1,$25k to $50k,Participated in Higher Education,56-75
35,"College Degree (such as B.A., B.S.)",not hispanic,"$45,000 to $49,999",white,Yes,MN,Donald Trump,1,$25k to $50k,Completed 1 Higher Education Degree,18-35
71,Associate Degree,not hispanic,"$25,000 to $29,999",white,Yes,WI,Donald Trump,1,$25k to $50k,Completed 1 Higher Education Degree,56-75
37,Masters degree,not hispanic,"$100,000 to $124,999",white,No,PA,Joe Biden,0,$100k to $150k,Completed 1 Higher Education Degree or more,36-55
27,"Completed some college, but no degree",not hispanic,"$30,000 to $34,999",white,Yes,OK,Joe Biden,0,$25k to $50k,Participated in Higher Education,18-35
61,Masters degree,not hispanic,"$100,000 to $124,999",white,Yes,IL,Donald Trump,1,$100k to $150k,Completed 1 Higher Education Degree or more,56-75
47,Masters degree,not hispanic,"$100,000 to $124,999",white,Yes,FL,Donald Trump,1,$100k to $150k,Completed 1 Higher Education Degree or more,36-55
69,Doctorate degree,not hispanic,"$100,000 to $124,999",black/african american/negro,Yes,DC,Joe Biden,0,$100k to $150k,Completed 1 Higher Education Degree or more,56-75
45,Doctorate degree,not hispanic,"$55,000 to $59,999",white,Yes,TX,Donald Trump,1,$50k to $75k,Completed 1 Higher Education Degree or more,36-55
26,"College Degree (such as B.A., B.S.)",not hispanic,"$55,000 to $59,999",white,No,IN,Donald Trump,1,$50k to $75k,Completed 1 Higher Education Degree,18-35
53,"College Degree (such as B.A., B.S.)",not hispanic,"$15,000 to $19,999",white,No,OH,Donald Trump,1,$25k or less,Completed 1 Higher Education Degree,36-55
20,High school graduate,not hispanic,"$50,000 to $54,999",black/african american/negro,Yes,OH,Joe Biden,0,$50k to $75k,Completed HS,18-35
65,Associate Degree,not hispanic,"$50,000 to $54,999",white,Yes,AZ,Joe Biden,0,$50k to $75k,Completed 1 Higher Education Degree,56-75
50,"College Degree (such as B.A., B.S.)",not hispanic,"$125,000 to $149,999",white,Yes,NJ,Donald Trump,1,$100k to $150k,Completed 1 Higher Education Degree,36-55
67,"Completed some college, but no degree",not hispanic,"$40,000 to $44,999",white,Yes,CO,Joe Biden,0,$25k to $50k,Participated in Higher Education,56-75
55,Masters degree,not hispanic,"$40,000 to $44,999",asian or pacific islander,Yes,PA,Joe Biden,0,$25k to $50k,Completed 1 Higher Education Degree or more,36-55
48,"Completed some college, but no degree",not hispanic,"$40,000 to $44,999",white,Yes,OH,Joe Biden,0,$25k to $50k,Participated in Higher Education,36-55
68,Associate Degree,not hispanic,"$25,000 to $29,999",asian or pacific islander,Yes,HI,Joe Biden,0,$25k to $50k,Completed 1 Higher Education Degree,56-75
57,Masters degree,not hispanic,"$95,000 to $99,999",white,Yes,CT,Joe Biden,0,$75k to $100k,Completed 1 Higher Education Degree or more,56-75
32,Masters degree,not hispanic,"$150,000 to $174,999",white,Yes,FL,Joe Biden,0,$150k or more,Completed 1 Higher Education Degree or more,18-35
65,"College Degree (such as B.A., B.S.)",not hispanic,"$50,000 to $54,999",white,No,WI,Joe Biden,0,$50k to $75k,Completed 1 Higher Education Degree,56-75
67,Associate Degree,not hispanic,"$60,000 to $64,999",black/african american/negro,Yes,NJ,Joe Biden,0,$50k to $75k,Completed 1 Higher Education Degree,56-75
52,Other post high school vocational training,not hispanic,"Less than $14,999",white,Yes,TX,Donald Trump,1,$25k or less,Participated in Higher Education,36-55
73,Associate Degree,not hispanic,"$80,000 to $84,999",white,Yes,TX,Donald Trump,1,$75k to $100k,Completed 1 Higher Education Degree,56-75
81,Masters degree,not hispanic,"$100,000 to $124,999",white,Yes,MT,Donald Trump,1,$100k to $150k,Completed 1 Higher Education Degree or more,76 or Older
66,"Completed some college, but no degree",not hispanic,"$15,000 to $19,999",white,Yes,PA,Joe Biden,0,$25k or less,Participated in Higher Education,56-75
38,"College Degree (such as B.A., B.S.)",not hispanic,"$125,000 to $149,999",white,Yes,CA,Joe Biden,0,$100k to $150k,Completed 1 Higher Education Degree,36-55
69,"College Degree (such as B.A., B.S.)",not hispanic,"$45,000 to $49,999",white,Yes,CA,Joe Biden,0,$25k to $50k,Completed 1 Higher Education Degree,56-75
81,"College Degree (such as B.A., B.S.)",not hispanic,"$40,000 to $44,999",asian or pacific islander,Yes,CA,Donald Trump,1,$25k to $50k,Completed 1 Higher Education Degree,76 or Older
65,"Completed some college, but no degree",not hispanic,"$45,000 to $49,999",white,No,TN,Donald Trump,1,$25k to $50k,Participated in Higher Education,56-75
62,"Completed some college, but no degree",not hispanic,"$30,000 to $34,999",white,Yes,NC,Joe Biden,0,$25k to $50k,Participated in Higher Education,56-75
21,High school graduate,not hispanic,"$15,000 to $19,999",white,Yes,PA,Donald Trump,1,$25k or less,Completed HS,18-35
44,Associate Degree,Other Hispanic,"$75,000 to $79,999","other race, nec",Yes,CT,Joe Biden,0,$75k to $100k,Completed 1 Higher Education Degree,36-55
33,Doctorate degree,not hispanic,"$100,000 to $124,999",black/african american/negro,Yes,TN,Donald Trump,1,$100k to $150k,Completed 1 Higher Education Degree or more,18-35
63,High school graduate,not hispanic,"$15,000 to $19,999",white,Yes,TX,Joe Biden,0,$25k or less,Completed HS,56-75
27,High school graduate,not hispanic,"$45,000 to $49,999",white,Yes,PA,Joe Biden,0,$25k to $50k,Completed HS,18-35
58,"College Degree (such as B.A., B.S.)",not hispanic,"$175,000 to $199,999",white,Yes,TN,Donald Trump,1,$150k or more,Completed 1 Higher Education Degree,56-75
60,"Completed some college, but no degree",not hispanic,"$100,000 to $124,999",white,Yes,IL,Joe Biden,0,$100k to $150k,Participated in Higher Education,56-75
29,Masters degree,not hispanic,"$70,000 to $74,999",asian or pacific islander,Yes,OR,Joe Biden,0,$50k to $75k,Completed 1 Higher Education Degree or more,18-35
28,"Completed some college, but no degree",mexican,"$55,000 to $59,999","other race, nec",Yes,CA,Joe Biden,0,$50k to $75k,Participated in Higher Education,18-35
40,High school graduate,not hispanic,"Less than $14,999",white,Yes,CT,Joe Biden,0,$25k or less,Completed HS,36-55
61,"Completed some college, but no degree",not hispanic,"$55,000 to $59,999",white,Yes,WI,Joe Biden,0,$50k to $75k,Participated in Higher Education,56-75
37,"College Degree (such as B.A., B.S.)",not hispanic,"$45,000 to $49,999",white,Yes,FL,Joe Biden,0,$25k to $50k,Completed 1 Higher Education Degree,36-55
20,High school graduate,not hispanic,"$250,000 and above",black/african american/negro,Yes,NV,Joe Biden,0,$150k or more,Completed HS,18-35
67,"Completed some college, but no degree",not hispanic,"$15,000 to $19,999",white,Yes,VT,Joe Biden,0,$25k or less,Participated in Higher Education,56-75
28,"College Degree (such as B.A., B.S.)",not hispanic,"$150,000 to $174,999",white,Yes,NY,Joe Biden,0,$150k or more,Completed 1 Higher Education Degree,18-35
53,"College Degree (such as B.A., B.S.)",not hispanic,"$60,000 to $64,999",white,Yes,NJ,Donald Trump,1,$50k to $75k,Completed 1 Higher Education Degree,36-55
30,"College Degree (such as B.A., B.S.)",not hispanic,"$60,000 to $64,999",white,Yes,PA,Donald Trump,1,$50k to $75k,Completed 1 Higher Education Degree,18-35
28,High school graduate,not hispanic,"$15,000 to $19,999",white,Yes,KY,Donald Trump,1,$25k or less,Completed HS,18-35
62,"Completed some college, but no degree",not hispanic,"$25,000 to $29,999",white,Yes,MD,Donald Trump,1,$25k to $50k,Participated in Higher Education,56-75
61,Associate Degree,not hispanic,"$45,000 to $49,999",white,Yes,IL,Donald Trump,1,$25k to $50k,Completed 1 Higher Education Degree,56-75
33,Other post high school vocational training,not hispanic,"Less than $14,999",black/african american/negro,Yes,IL,Joe Biden,0,$25k or less,Participated in Higher Education,18-35
68,Masters degree,not hispanic,"$40,000 to $44,999",white,Yes,MO,Joe Biden,0,$25k to $50k,Completed 1 Higher Education Degree or more,56-75
52,Masters degree,not hispanic,"$175,000 to $199,999",white,Yes,FL,Donald Trump,1,$150k or more,Completed 1 Higher Education Degree or more,36-55
39,"College Degree (such as B.A., B.S.)",Other Hispanic,"Less than $14,999",white,No,CA,Donald Trump,1,$25k or less,Completed 1 Higher Education Degree,36-55
73,"Completed some college, but no degree",not hispanic,"$95,000 to $99,999",white,No,MT,Joe Biden,0,$75k to $100k,Participated in Higher Education,56-75
38,Completed some high school,not hispanic,"$15,000 to $19,999",black/african american/negro,Yes,WI,Joe Biden,0,$25k or less,Completed some HS,36-55
50,High school graduate,not hispanic,"$125,000 to $149,999",white,Yes,SC,Joe Biden,0,$100k to $150k,Completed HS,36-55
61,"Completed some graduate, but no degree",not hispanic,"$50,000 to $54,999",white,Yes,IL,Donald Trump,1,$50k to $75k,Completed 1 Higher Education Degree or more,56-75
63,"Completed some college, but no degree",not hispanic,"$150,000 to $174,999",white,Yes,MO,Joe Biden,0,$150k or more,Participated in Higher Education,56-75
67,"Completed some college, but no degree",not hispanic,"$70,000 to $74,999",white,Yes,TX,Donald Trump,1,$50k to $75k,Participated in Higher Education,56-75
35,"College Degree (such as B.A., B.S.)",not hispanic,"$100,000 to $124,999",black/african american/negro,Yes,MO,Donald Trump,1,$100k to $150k,Completed 1 Higher Education Degree,18-35
52,"Completed some college, but no degree",not hispanic,"$20,000 to $24,999",black/african american/negro,Yes,TN,Joe Biden,0,$25k or less,Participated in Higher Education,36-55
25,Associate Degree,not hispanic,"$55,000 to $59,999",white,Yes,UT,Joe Biden,0,$50k to $75k,Completed 1 Higher Education Degree,18-35
44,Associate Degree,not hispanic,"$45,000 to $49,999",white,Yes,MN,Joe Biden,0,$25k to $50k,Completed 1 Higher Education Degree,36-55
69,"College Degree (such as B.A., B.S.)",not hispanic,"$20,000 to $24,999",white,Yes,NJ,Joe Biden,0,$25k or less,Completed 1 Higher Education Degree,56-75
74,"College Degree (such as B.A., B.S.)",not hispanic,"$35,000 to $39,999",white,Yes,SC,Joe Biden,0,$25k to $50k,Completed 1 Higher Education Degree,56-75
39,Masters degree,not hispanic,"$35,000 to $39,999",white,Yes,CA,Joe Biden,0,$25k to $50k,Completed 1 Higher Education Degree or more,36-55
50,"College Degree (such as B.A., B.S.)",not hispanic,"$175,000 to $199,999",white,Yes,VA,Donald Trump,1,$150k or more,Completed 1 Higher Education Degree,36-55
68,High school graduate,not hispanic,"$70,000 to $74,999",white,Yes,WV,Donald Trump,1,$50k to $75k,Completed HS,56-75
18,"Completed some college, but no degree",not hispanic,"$35,000 to $39,999",white,Yes,FL,Joe Biden,0,$25k to $50k,Participated in Higher Education,18-35
56,"College Degree (such as B.A., B.S.)",not hispanic,"$35,000 to $39,999",white,Yes,NE,Donald Trump,1,$25k to $50k,Completed 1 Higher Education Degree,56-75
51,Other post high school vocational training,not hispanic,"$15,000 to $19,999",white,No,MI,Donald Trump,1,$25k or less,Participated in Higher Education,36-55
24,Completed some high school,not hispanic,"$50,000 to $54,999",asian or pacific islander,Yes,UT,Donald Trump,1,$50k to $75k,Completed some HS,18-35
68,"Completed some graduate, but no degree",not hispanic,"$125,000 to $149,999",white,Yes,FL,Donald Trump,1,$100k to $150k,Completed 1 Higher Education Degree or more,56-75
28,High school graduate,not hispanic,"$40,000 to $44,999",white,Yes,OR,Joe Biden,0,$25k to $50k,Completed HS,18-35
62,Associate Degree,not hispanic,"$70,000 to $74,999",white,Yes,AZ,Joe Biden,0,$50k to $75k,Completed 1 Higher Education Degree,56-75
73,High school graduate,not hispanic,"$25,000 to $29,999",white,No,TN,Donald Trump,1,$25k to $50k,Completed HS,56-75
55,"College Degree (such as B.A., B.S.)",not hispanic,"$30,000 to $34,999",white,No,MA,Joe Biden,0,$25k to $50k,Completed 1 Higher Education Degree,36-55
